Pick,Round,Team,Player,Season
115,12,406.l.103661.t.4,406.p.26534,2021
116,12,406.l.103661.t.3,406.p.25718,2021
117,12,406.l.103661.t.9,406.p.31906,2021
118,12,406.l.103661.t.6,406.p.30346,2021
119,12,406.l.103661.t.8,406.p.31019,2021
120,12,406.l.103661.t.5,406.p.25881,2021
121,13,406.l.103661.t.5,406.p.9353,2021
122,13,406.l.103661.t.8,406.p.100014,2021
123,13,406.l.103661.t.6,406.p.100033,2021
124,13,406.l.103661.t.9,406.p.100023,2021
125,13,406.l.103661.t.3,406.p.100027,2021
126,13,406.l.103661.t.4,406.p.31934,2021
127,13,406.l.103661.t.7,406.p.100025,2021
