clinched_playoffs,draft_grade,faab_balance,has_draft_grade,name,number_of_moves,number_of_trades,team_id,team_key,waiver_priority,roster_adds.coverage_value,roster_adds.value,team_standings.outcome_totals.losses,team_standings.outcome_totals.percentage,team_standings.outcome_totals.ties,team_standings.outcome_totals.wins,team_standings.playoff_seed,team_standings.points_against,team_standings.points_for,team_standings.rank,team_standings.streak.type,team_standings.streak.value,manager_id,nickname,game_id,league_id
,B+,,1,Push Ups in Prison,19,1,7,371.l.525547.t.7,2,17,0,8,0.38499999046325684,0,5,7.0,1371.0999755859375,1303.5799560546875,8,win,2,7,Pat,371,525547
,B,,1,Vinatierrible,0,0,10,371.l.525547.t.10,1,17,0,10,0.23100000619888306,0,3,10.0,1264.800048828125,1090.1199951171875,9,loss,2,10,Jeremy,371,525547
,C,,1,Deckers Barn animals,29,2,6,371.l.525547.t.6,3,17,0,10,0.23100000619888306,0,3,9.0,1455.8199462890625,1287.4599609375,10,loss,2,6,Kevin,371,525547
1.0,C+,,1,Grahamer Nazis,6,2,10,348.l.570821.t.10,4,17,0,7,0.4620000123977661,0,6,6.0,1441.5999755859375,1407.0799560546875,6,win,2,10,Jeremy,348,570821
,B,,1,Bragging Wrights,56,6,2,348.l.570821.t.2,9,17,0,7,0.4620000123977661,0,6,7.0,1417.0,1306.260009765625,7,loss,1,2,Shinn,348,570821
,A-,,1,Slob on my Cobb,14,0,6,348.l.570821.t.6,2,17,0,9,0.30799999833106995,0,4,9.0,1399.3800048828125,1406.3399658203125,8,loss,7,6,Kevin,348,570821
,B-,,1,Brees in the Trap,14,2,7,348.l.570821.t.7,6,17,0,9,0.30799999833106995,0,4,10.0,1454.1199951171875,1246.56005859375,9,loss,2,7,Pat,348,570821
,C,,1,Gurley Bears,43,2,1,348.l.570821.t.1,5,17,0,8,0.38499999046325684,0,5,8.0,1435.9000244140625,1278.1600341796875,10,win,1,1,Tim,348,570821
1.0,C,0.0,1,Runningback U (JS),81,7,4,390.l.215172.t.4,10,17,0,3,0.7689999938011169,0,10,1.0,1381.9000244140625,1622.8599853515625,1,loss,1,4,Shinn,390,215172
1.0,C-,0.0,1,Keenan & Bell (GF),50,5,6,390.l.215172.t.6,5,17,0,5,0.6150000095367432,0,8,2.0,1398.0999755859375,1412.260009765625,2,win,1,6,Greg,390,215172
1.0,C+,39.0,1,Ingram we trust,22,0,10,390.l.215172.t.10,6,17,0,7,0.4620000123977661,0,6,5.0,1510.219970703125,1444.6800537109375,3,win,1,10,Wesley,390,215172
1.0,B,70.0,1,PB’s Dumpster 🔥,30,3,3,390.l.215172.t.3,3,17,0,7,0.4620000123977661,0,6,3.0,1404.300048828125,1443.4000244140625,4,loss,1,3,Peter Billups,390,215172
1.0,B,0.0,1,Big Waller Brand,51,4,9,390.l.215172.t.9,4,17,0,8,0.38499999046325684,0,5,6.0,1482.6800537109375,1422.47998046875,5,loss,5,9,ryan,390,215172
1.0,A-,42.0,1,Push Ups in PrisonPA,15,2,8,390.l.215172.t.8,1,17,0,6,0.5379999876022339,0,7,4.0,1403.6199951171875,1423.0400390625,6,win,3,8,Pat,390,215172
,B-,0.0,1,Sherlock MaHomes,36,5,7,390.l.215172.t.7,8,17,0,9,0.30799999833106995,0,4,10.0,1387.800048828125,1301.1600341796875,7,loss,6,7,Chris,390,215172
