display_name,enabled,name,position_type,sort_order,stat_id,is_only_display_stat,game_id,league_id,stat_modifier
Safe,1,Safety,DT,1,36,0,348,570821,2.0
Blk Kick,1,Block Kick,DT,1,37,0,348,570821,2.0
Kick and Punt Ret TD,1,Kickoff and Punt Return Touchdowns,DT,1,49,0,348,570821,6.0
Pts Allow 0,1,Points Allowed 0 points,DT,1,50,0,348,570821,10.0
Pts Allow 1-6,1,Points Allowed 1-6 points,DT,1,51,0,348,570821,7.0
Pts Allow 7-13,1,Points Allowed 7-13 points,DT,1,52,0,348,570821,4.0
Pts Allow 14-20,1,Points Allowed 14-20 points,DT,1,53,0,348,570821,1.0
Pts Allow 21-27,1,Points Allowed 21-27 points,DT,1,54,0,348,570821,0.0
Pts Allow 28-34,1,Points Allowed 28-34 points,DT,1,55,0,348,570821,-1.0
Pts Allow 35+,1,Points Allowed 35+ points,DT,1,56,0,348,570821,-4.0
XPR,1,Extra Point Returned,DT,1,82,0,348,570821,2.0
Pass Yds,1,Passing Yards,O,1,4,0,331,793441,0.03999999910593033
Pass TD,1,Passing Touchdowns,O,1,5,0,331,793441,4.0
Int,1,Interceptions,O,0,6,0,331,793441,-1.0
Rush Att,1,Rushing Attempts,O,1,8,1,331,793441,
Rush Yds,1,Rushing Yards,O,1,9,0,331,793441,0.10000000149011612
Rush TD,1,Rushing Touchdowns,O,1,10,0,331,793441,6.0
Targets,1,Targets,O,1,78,1,331,793441,
Rec,1,Receptions,O,1,11,1,331,793441,
Rec Yds,1,Reception Yards,O,1,12,0,331,793441,0.10000000149011612
Rec TD,1,Reception Touchdowns,O,1,13,0,331,793441,6.0
Ret TD,1,Return Touchdowns,O,1,15,0,331,793441,6.0
2-PT,1,2-Point Conversions,O,1,16,0,331,793441,2.0
Fum Lost,1,Fumbles Lost,O,0,18,0,331,793441,-2.0
Fum Ret TD,1,Offensive Fumble Return TD,O,1,57,0,331,793441,6.0
FG 0-19,1,Field Goals 0-19 Yards,K,1,19,0,331,793441,3.0
FG 20-29,1,Field Goals 20-29 Yards,K,1,20,0,331,793441,3.0
FG 30-39,1,Field Goals 30-39 Yards,K,1,21,0,331,793441,3.0
FG 40-49,1,Field Goals 40-49 Yards,K,1,22,0,331,793441,4.0
FG 50+,1,Field Goals 50+ Yards,K,1,23,0,331,793441,5.0
PAT Made,1,Point After Attempt Made,K,1,29,0,331,793441,1.0
Pts Allow,1,Points Allowed,DT,0,31,1,331,793441,
Sack,1,Sack,DT,1,32,0,331,793441,1.0
Int,1,Interception,DT,1,33,0,331,793441,2.0
Fum Rec,1,Fumble Recovery,DT,1,34,0,331,793441,2.0
TD,1,Touchdown,DT,1,35,0,331,793441,6.0
Safe,1,Safety,DT,1,36,0,331,793441,2.0
Blk Kick,1,Block Kick,DT,1,37,0,331,793441,2.0
Kick and Punt Ret TD,1,Kickoff and Punt Return Touchdowns,DT,1,49,0,331,793441,6.0
Pts Allow 0,1,Points Allowed 0 points,DT,1,50,0,331,793441,10.0
Pts Allow 1-6,1,Points Allowed 1-6 points,DT,1,51,0,331,793441,7.0
Pts Allow 7-13,1,Points Allowed 7-13 points,DT,1,52,0,331,793441,4.0
Pts Allow 14-20,1,Points Allowed 14-20 points,DT,1,53,0,331,793441,1.0
Pts Allow 21-27,1,Points Allowed 21-27 points,DT,1,54,0,331,793441,0.0
Pts Allow 28-34,1,Points Allowed 28-34 points,DT,1,55,0,331,793441,-1.0
Pts Allow 35+,1,Points Allowed 35+ points,DT,1,56,0,331,793441,-4.0
Pass Yds,1,Passing Yards,O,1,4,0,314,731544,0.03999999910593033
Pass TD,1,Passing Touchdowns,O,1,5,0,314,731544,4.0
Int,1,Interceptions,O,0,6,0,314,731544,-1.0
Rush Yds,1,Rushing Yards,O,1,9,0,314,731544,0.10000000149011612
Rush TD,1,Rushing Touchdowns,O,1,10,0,314,731544,6.0
Rec Yds,1,Reception Yards,O,1,12,0,314,731544,0.10000000149011612
Rec TD,1,Reception Touchdowns,O,1,13,0,314,731544,6.0
Ret TD,1,Return Touchdowns,O,1,15,0,314,731544,6.0
2-PT,1,2-Point Conversions,O,1,16,0,314,731544,2.0
Fum Lost,1,Fumbles Lost,O,0,18,0,314,731544,-2.0
Fum Ret TD,1,Offensive Fumble Return TD,O,1,57,0,314,731544,6.0
FG 0-19,1,Field Goals 0-19 Yards,K,1,19,0,314,731544,3.0
FG 20-29,1,Field Goals 20-29 Yards,K,1,20,0,314,731544,3.0
FG 30-39,1,Field Goals 30-39 Yards,K,1,21,0,314,731544,3.0
FG 40-49,1,Field Goals 40-49 Yards,K,1,22,0,314,731544,4.0
FG 50+,1,Field Goals 50+ Yards,K,1,23,0,314,731544,5.0
PAT Made,1,Point After Attempt Made,K,1,29,0,314,731544,1.0
Pts Allow,1,Points Allowed,DT,0,31,1,314,731544,
Sack,1,Sack,DT,1,32,0,314,731544,1.0
Int,1,Interception,DT,1,33,0,314,731544,2.0
Fum Rec,1,Fumble Recovery,DT,1,34,0,314,731544,2.0
TD,1,Touchdown,DT,1,35,0,314,731544,6.0
Safe,1,Safety,DT,1,36,0,314,731544,2.0
Blk Kick,1,Block Kick,DT,1,37,0,314,731544,2.0
Kick and Punt Ret TD,1,Kickoff and Punt Return Touchdowns,DT,1,49,0,314,731544,6.0
Pts Allow 0,1,Points Allowed 0 points,DT,1,50,0,314,731544,10.0
Pts Allow 1-6,1,Points Allowed 1-6 points,DT,1,51,0,314,731544,7.0
Pts Allow 7-13,1,Points Allowed 7-13 points,DT,1,52,0,314,731544,4.0
Pts Allow 14-20,1,Points Allowed 14-20 points,DT,1,53,0,314,731544,1.0
Pts Allow 21-27,1,Points Allowed 21-27 points,DT,1,54,0,314,731544,0.0
Pts Allow 28-34,1,Points Allowed 28-34 points,DT,1,55,0,314,731544,-1.0
Pts Allow 35+,1,Points Allowed 35+ points,DT,1,56,0,314,731544,-4.0
